time,wx,wy,wz
3.71440196,1.17,0.68,0.88
3.739217043,1.31,0.72,1.29
3.739804983,1.31,0.72,1.29
3.744129896,1.32,0.69,1.3
3.754174948,1.28,0.58,1.15
3.764019012,1.29,0.45,0.98
3.774192095,1.28,0.34,0.85
3.784290075,1.25,0.25,0.8
3.794219017,1.25,0.13,0.79
3.80433917,1.27,0.11,0.92
3.839186907,1.26,0.1,0.92
3.839781046,1.26,0.1,0.92
3.840284109,1.26,0.1,0.92
3.84446907,1.22,0.07,0.82
3.854315042,1.18,-0.04,0.71
3.864085913,1.18,-0.27,0.65
3.874258995,1.15,-0.47,0.65
3.88417697,1.06,-0.6,0.72
3.894087076,0.93,-0.68,0.81
3.904627085,0.78,-0.81,0.88
3.914252043,0.71,-1,0.91
3.930361986,0.66,-1.07,0.84
3.934934855,0.53,-0.99,0.66
3.944094896,0.37,-0.81,0.45
3.954127073,0.27,-0.52,0.29
3.964148998,0.24,-0.21,0.17
3.974493027,0.22,-0.06,0.07
3.984439135,0.18,-0.07,-0.04
3.994544029,0.08,-0.02,-0.13
4.004533052,-0.05,0.06,-0.2
4.046494961,-0.15,0.27,-0.26
4.047146082,-0.15,0.27,-0.26
4.047652006,-0.15,0.27,-0.26
4.048146009,-0.15,0.27,-0.26
4.054165125,-0.04,0.19,-0.21
4.063933134,0.09,-0.03,-0.06
4.074079037,0.06,-0.2,0.09
4.084194899,-0.07,-0.24,0.14
4.094369173,-0.16,-0.19,0.06
4.104449034,-0.11,-0.12,-0.08
4.142843962,-0.14,0.16,-0.09
4.14357996,-0.14,0.16,-0.09
4.143972158,-0.14,0.01,0.01
4.146983862,-0.14,0.01,0.01
4.154075861,-0.2,-0.14,0.04
4.163951159,-0.39,-0.18,-0.08
4.173943996,-0.7,-0.15,-0.35
4.183952093,-0.73,-0.08,-0.62
4.194365978,-0.47,0.03,-0.67
4.204404116,-0.47,0.24,-0.6
4.241127968,-0.77,1.01,-0.59
4.241731882,-0.77,1.01,-0.59
4.242233038,-0.77,1.01,-0.59
4.245411158,-0.97,1.06,-0.84
4.25398612,-1.22,0.92,-1.14
4.264034986,-0.81,0.74,-1.19
4.273908854,-0.47,0.83,-0.89
4.283957958,-0.62,1.09,-0.52
4.294318914,-0.94,1.22,-0.36
4.304353952,-1.18,1.05,-0.53
4.339326143,-0.58,-0.22,-1.28
4.339914083,-0.58,-0.22,-1.28
4.340415001,-0.58,-0.22,-1.28
4.344719172,-0.55,-0.44,-1.07
4.353981018,-0.78,-0.5,-0.8
4.36383605,-1.01,-0.65,-0.64
4.373893976,-1.3,-0.9,-0.57
4.383868933,-1.49,-1.21,-0.66
4.394010067,-1.31,-1.4,-0.82
4.404298067,-1,-1.2,-0.79
4.43922019,-1.22,-0.28,-0.38
4.439823866,-1.22,-0.28,-0.38
4.440325022,-1.22,-0.28,-0.38
4.44461298,-1.36,0.04,-0.41
4.453924894,-1.24,0.19,-0.58
4.46380806,-1.08,0.26,-0.79
4.473958015,-0.85,0.25,-0.93
4.484035015,-0.65,0.35,-1
4.493978024,-0.65,0.24,-0.95
4.504339933,-0.78,-0.12,-0.79
4.514325857,-0.84,-0.53,-0.62
4.540218115,-0.96,-0.59,-0.58
4.540771961,-0.96,-0.59,-0.58
4.543962002,-0.92,-0.48,-0.59
4.554125071,-0.77,-0.43,-0.44
4.563728094,-0.66,-0.32,-0.21
4.573826075,-0.64,-0.54,-0.01
4.583811998,-0.56,-0.71,0.07
4.593672991,-0.54,-0.62,0.04
4.604027033,-0.59,-0.39,-0.09
4.613880873,-0.57,-0.19,-0.29
4.637044191,-0.28,0.01,-0.5
4.63755393,-0.28,0.01,-0.5
4.643764973,-0.17,-0.02,-0.44
4.653826952,-0.1,-0.06,-0.25
4.663759947,-0.04,0.1,-0.09
4.673796892,-0.02,0.3,-0.05
4.684000015,-0.04,0.4,-0.1
4.693857908,-0.04,0.24,-0.11
4.704079866,-0.01,-0.07,-0.03
4.717233896,0.08,-0.3,0.11
4.743932009,0.4,-0.16,0.55
4.744500875,0.4,-0.16,0.55
4.747196913,0.4,-0.16,0.55
4.754081011,0.42,0.03,0.55
4.763663054,0.37,0.06,0.43
4.773958921,0.35,-0.02,0.31
4.783915043,0.44,-0.03,0.31
4.794085979,0.54,0.05,0.41
4.804124117,0.68,0.17,0.55
4.838621855,1,0.35,0.64
4.839205027,1,0.35,0.64
4.839707136,1,0.35,0.64
4.843991995,0.98,0.28,0.55
4.853754997,0.98,0.21,0.54
4.863711119,1.05,0.18,0.62
4.873785019,1.18,0.23,0.74
4.883859873,1.29,0.29,0.83
4.89379406,1.34,0.3,0.86
4.90380311,1.31,0.25,0.85
4.938982964,1.1,0.08,0.96
4.939563036,1.1,0.08,0.96
4.940058947,1.1,0.08,0.96
4.944313049,1.13,0.14,1.2
4.953713179,1.15,0.2,1.39
4.963485956,1.1,0.18,1.37
4.973739862,1.08,0.06,1.15
4.983730078,1.17,-0.05,0.83
