Daniel Kwak push up,,,,
time,wx,wy,wz,
4.90880823135376,-0.24,-0.48,-0.18,
4.91890811920166,-0.27,-0.28,-0.18,
4.9287600517273,-0.24,-0.07,-0.22,
4.93903732299805,-0.2,0.14,-0.24,
4.94852733612061,-0.2,0.25,-0.22,
4.95882034301758,-0.21,0.22,-0.21,
4.96938228607178,-0.21,0.07,-0.22,
4.98535633087158,-0.18,-0.1,-0.25,
4.98907709121704,-0.14,-0.18,-0.3,
4.99827122688294,-0.12,-0.18,-0.34,
5.00822401046753,-0.15,-0.08,-0.38,
5.01798534393311,-0.18,0.09,-0.38,
5.02828121185303,-0.19,0.29,-0.41,
5.03826117515564,-0.2,0.42,-0.47,
5.04794120788574,-0.25,0.34,-0.5,
5.05805826187134,-0.32,0.03,-0.54,
5.06771516799927,-0.39,-0.37,-0.55,
5.08465814590454,-0.49,-0.6,-0.53,
5.08764505386353,-0.55,-0.55,-0.51,
5.09749126434326,-0.61,-0.25,-0.5,
5.10758209228516,-0.66,0.1,-0.53,
5.11747121810913,-0.74,0.28,-0.54,
5.12739133834839,-0.78,0.16,-0.53,
5.13735818862915,-0.8,-0.15,-0.52,
5.14707016944885,-0.83,-0.41,-0.51,
5.15745115280151,-0.88,-0.48,-0.51,
5.16716814041138,-0.92,-0.24,-0.5,
5.18304300308228,-0.95,0.22,-0.55,
5.18681526184082,-0.93,0.7,-0.66,
5.19667816162109,-0.93,0.87,-0.8,
5.2068510055542,-0.99,0.59,-0.92,
5.2166690826416,-1.07,-0.01,-0.97,
5.22660112380981,-1.1,-0.63,-0.93,
5.23665809631348,-1.08,-0.98,-0.85,
5.2465991973877,-1.03,-0.98,-0.8,
5.25662016868591,-0.99,-0.73,-0.77,
5.26649117469788,-0.97,-0.42,-0.75,
5.28315734863281,-0.92,-0.2,-0.7,
5.28596520423889,-0.81,-0.07,-0.59,
5.29619121551514,-0.66,-0.06,-0.4,
5.30602502822876,-0.47,-0.14,-0.23,
5.31590604782105,-0.34,-0.3,-0.11,
5.32588529586792,-0.26,-0.48,-0.06,
5.33590316772461,-0.21,-0.62,-0.02,
5.34592819213867,-0.1,-0.56,0.06,
5.35592603683472,0.07,-0.32,0.16,
5.36551904678345,0.29,-0.03,0.25,
5.38288617134094,0.54,0.19,0.35,
5.3863730430603,0.73,0.21,0.44,
5.39545822143555,0.85,0.09,0.53,
5.40536212921143,0.92,-0.06,0.57,
5.41523504257202,1.02,-0.08,0.52,
5.42542409896851,1.14,0.11,0.46,
5.4350700378418,1.14,0.32,0.52,
5.44513607025147,1.13,0.37,0.62,
5.45518612861633,1.2,0.24,0.69,
5.46502828598023,1.21,0.02,0.68,
5.482666015625,1.17,-0.08,0.61,
5.4853572845459,1.07,-0.04,0.57,
5.49454402923584,0.98,0.01,0.66,
5.50457000732422,0.96,-0.03,0.86,
5.51468229293823,1.04,-0.19,1.1,
5.52443027496338,1.03,-0.33,1.2,
5.53438115119934,0.93,-0.36,1.1,
5.54443025588989,0.81,-0.27,0.95,
5.55446004867554,0.77,-0.12,0.92,
5.56532907485962,0.85,0,0.99,
5.58149003982544,0.81,0.1,1.11,
5.58385133743286,0.64,0.13,1.21,
5.5939040184021,0.58,0.15,1.21,
5.60408020019531,0.67,0.35,1.07,
5.61376523971558,0.78,0.61,0.83,
5.62372422218323,0.8,0.65,0.65,
5.63359522819519,0.61,0.36,0.68,
5.64373111724854,0.44,0,0.78,
5.6537561416626,0.45,-0.04,0.82,
5.66345500946045,0.54,0.28,0.73,
5.67459321022034,0.64,0.7,0.49,
5.69154930114746,0.6,0.86,0.22,
5.69398713111877,0.41,0.53,0.15,
5.70323014259338,0.31,-0.02,0.23,
5.71309018135071,0.33,-0.38,0.23,
5.72301006317139,0.34,-0.35,0.19,
5.73295402526856,0.35,-0.02,0.11,
5.74296712875366,0.38,0.36,0,
5.75298833847046,0.36,0.52,-0.17,
5.76410531997681,0.25,0.34,-0.24,
5.77397108078003,0.08,-0.05,-0.15,
5.78987812995911,0.04,-0.26,0.02,
5.79238820075989,0.05,-0.09,0.05,
5.80241203308106,0.13,0.32,-0.02,
5.81232213973999,0.19,0.71,-0.08,
5.82239007949829,0.2,0.84,-0.14,
5.83227515220642,0.15,0.6,-0.19,
5.84207534790039,0.01,0.12,-0.16,
5.85225629806519,-0.21,-0.35,-0.04,
5.86206722259522,-0.3,-0.54,0.08,
5.87321519851685,-0.31,-0.25,0.17,
5.88965320587158,-0.3,0.27,0.25,
5.89213418960571,-0.28,0.67,0.33,
5.90174007415772,-0.33,0.72,0.44,
5.91159415245056,-0.44,0.37,0.58,
5.92181515693665,-0.47,-0.07,0.69,
5.93133211135864,-0.52,-0.07,0.69,
5.94128131866455,-0.52,0.45,0.59,
5.95143818855286,-0.41,1.24,0.41,
5.96136212348938,-0.33,1.76,0.12,
5.97247409820557,-0.35,1.56,-0.11,
5.98862409591675,-0.39,0.68,-0.19,
5.99116802215576,-0.43,-0.41,-0.21,
6.0008282661438,-0.43,-1.05,-0.24,
6.01082134246826,-0.35,-0.95,-0.28,
6.02084517478943,-0.26,-0.35,-0.39,
6.03072834014893,-0.19,0.25,-0.47,
6.04058122634888,-0.19,0.49,-0.45,
6.05068421363831,-0.22,0.25,-0.33,
6.06063508987427,-0.19,-0.15,-0.18,
6.0707483291626,-0.12,-0.35,-0.07,
6.08805418014526,-0.03,-0.24,-0.05,
6.09055018424988,0.1,0.03,-0.09,
6.10020017623901,0.19,0.23,-0.08,
6.11021327972412,0.27,0.27,-0.08,
