time,wx,wy,wz
3.266086102,0.02,-0.77,-0.59
3.282127142,-0.1,-0.48,-0.62
3.284649134,-0.04,-0.1,-0.79
3.295554161,-0.02,0.22,-0.91
3.304103136,0.28,0.38,-0.96
3.315019131,0.51,0.22,-0.92
3.32428503,0.61,0,-0.63
3.334218025,0.6,-0.11,-0.35
3.344120026,0.58,-0.38,-0.25
3.35545826,0.56,-0.47,-0.22
3.365548134,0.63,-0.45,-0.28
3.381679058,0.61,-0.2,-0.3
3.383884192,0.62,0.26,-0.3
3.395108223,0.51,0.38,-0.23
3.404208183,0.56,0.23,-0.17
3.415247202,0.69,-0.19,-0.12
3.424230099,0.75,-0.21,-0.04
3.433904171,0.8,-0.07,-0.02
3.44481802,0.78,0.02,0.08
3.456346989,0.74,-0.06,0.2
3.465684175,0.67,-0.02,0.25
3.482272148,0.55,0.23,0.23
3.484688282,0.44,0.4,0.21
3.494620323,0.4,0.47,0.18
3.50404501,0.48,0.35,0.2
3.514626026,0.55,0.14,0.26
3.523895264,0.53,-0.14,0.34
3.533897161,0.42,-0.22,0.36
3.543940067,0.26,-0.05,0.32
3.554970264,0.12,0.33,0.23
3.564442158,0.1,0.61,0.18
3.581521988,0.15,0.6,0.26
3.58398819,0.28,0.3,0.45
3.595080137,0.5,0.04,0.62
3.603559017,0.64,-0.25,0.75
3.614906311,0.56,-0.49,0.81
3.623999119,0.35,-0.39,0.61
3.633909225,0.13,-0.03,0.26
3.644452095,-0.07,0.35,-0.01
3.655549049,-0.18,0.56,-0.17
3.665378094,-0.2,0.46,-0.15
3.680849075,-0.18,0.19,-0.04
3.683716297,-0.15,0,0.08
3.69446516,-0.12,-0.13,0.17
3.703570127,-0.18,-0.08,0.2
3.714251041,-0.26,0.17,0.05
3.72361517,-0.34,0.36,-0.13
3.733381271,-0.37,0.47,-0.22
3.74382925,-0.35,0.42,-0.15
3.755844116,-0.33,0.27,0.01
3.765227318,-0.35,0.15,0.14
3.781061172,-0.41,0.08,0.22
3.784052134,-0.4,0.06,0.27
3.794476986,-0.34,0.09,0.28
3.80351305,-0.24,0.12,0.31
3.814277172,-0.1,0.04,0.35
3.823735237,-0.08,-0.06,0.44
3.833224297,-0.09,-0.19,0.46
3.844198227,-0.15,-0.18,0.42
3.855360031,-0.22,-0.09,0.36
3.864645004,-0.29,0.09,0.23
3.880864143,-0.32,0.23,0.19
3.883016109,-0.26,0.15,0.25
3.894186974,-0.16,-0.02,0.37
3.903030157,-0.11,-0.22,0.54
3.914024115,-0.13,-0.34,0.58
3.923254013,-0.27,-0.27,0.49
3.932987213,-0.44,-0.07,0.31
