time,wx,wy,wz
4.651865959,-0.03,0.1,0.01
4.652365208,-0.03,0.1,0.01
4.661536217,-0.02,0.07,0.02
4.670839071,0,0.06,-0.01
4.681263924,-0.01,0.08,-0.03
4.690707207,-0.03,0.05,-0.01
4.700984001,-0.01,0.04,0.03
4.7116611,0,0.04,0.09
4.721427917,-0.01,0.09,0.13
4.731789112,-0.02,0.1,0.14
4.746250153,-0.01,0.1,0.14
4.761342049,-0.04,0.1,0.17
4.76177597,-0.04,0.1,0.17
4.769586086,-0.04,0.1,0.21
4.780261993,-0.05,0.11,0.24
4.789894104,-0.07,0.15,0.25
4.79987812,-0.1,0.18,0.25
4.809801102,-0.11,0.18,0.23
4.82000494,-0.13,0.19,0.19
4.83107996,-0.15,0.21,0.18
4.846168995,-0.18,0.2,0.18
4.857969046,-0.22,0.26,0.17
4.861311913,-0.22,0.26,0.17
4.869285107,-0.23,0.26,0.17
4.878746986,-0.23,0.25,0.17
4.889851093,-0.25,0.25,0.19
4.89932704,-0.29,0.25,0.22
4.910595894,-0.3,0.24,0.24
4.919922113,-0.31,0.28,0.24
4.930227041,-0.33,0.28,0.23
4.945723057,-0.34,0.24,0.2
4.96154809,-0.24,0.18,0.17
4.962003231,-0.24,0.18,0.17
4.968976974,-0.2,0.17,0.2
4.978890896,-0.16,0.13,0.23
4.989155054,-0.17,0.13,0.25
4.998492002,-0.19,0.13,0.25
5.00901413,-0.2,0.15,0.24
5.018672943,-0.23,0.12,0.19
5.029918194,-0.21,0.08,0.14
5.045197964,-0.18,0.1,0.1
5.057868958,-0.15,0.04,0.08
5.060858011,-0.15,0.04,0.08
5.068107128,-0.08,0.03,0.08
5.078023911,-0.12,-0.01,0.07
5.088794231,-0.13,-0.01,0.07
5.098026037,-0.13,0.02,0
5.108337879,-0.11,0.03,-0.07
5.119153976,-0.01,0.05,-0.12
5.129221916,0,0.03,-0.2
5.144897938,-0.04,0,-0.23
5.1578722,0.01,-0.07,-0.29
5.158281088,0.01,-0.07,-0.29
5.167950153,0.16,-0.09,-0.31
5.177269936,0.22,-0.09,-0.3
5.188193083,0.2,-0.11,-0.25
5.197979927,0.19,-0.15,-0.21
5.207520008,0.18,-0.17,-0.19
5.217362881,0.24,-0.2,-0.15
5.228765011,0.26,-0.22,-0.11
5.243965149,0.21,-0.24,-0.05
5.259751081,0.19,-0.19,0.02
5.260344982,0.19,-0.19,0.02
5.26713109,0.17,-0.19,0.01
5.276306152,0.17,-0.27,-0.03
5.28738308,0.18,-0.19,-0.12
5.296735048,0.18,-0.16,-0.17
5.307555199,0.19,-0.15,-0.22
5.316332102,0.19,-0.16,-0.28
5.328111172,0.13,-0.19,-0.3
5.340128899,0.08,-0.19,-0.32
5.351274014,0.07,-0.1,-0.31
5.355747223,0.05,-0.14,-0.34
5.3677001,0.15,-0.15,-0.38
5.375808001,0.25,-0.16,-0.41
5.38611412,0.27,-0.17,-0.41
5.396095037,0.19,-0.21,-0.36
5.406068087,0.2,-0.17,-0.29
5.415868998,0.2,-0.15,-0.23
5.426237106,0.19,-0.23,-0.16
5.45064497,0.22,-0.15,-0.08
5.451100111,0.22,-0.15,-0.08
5.455455065,0.19,-0.2,-0.13
5.466485023,0.26,-0.21,-0.21
5.47527504,0.22,-0.21,-0.26
5.486332893,0.16,-0.23,-0.23
5.495781898,0.2,-0.21,-0.13
5.505531073,0.29,-0.23,-0.08
5.516027927,0.4,-0.19,-0.07
5.525556087,0.33,-0.22,-0.14
5.541399002,0.26,-0.26,-0.14
5.555752039,0.2,-0.13,-0.05
5.556173086,0.2,-0.13,-0.05
5.565324068,0.18,-0.07,-0.08
5.575157166,0.08,-0.11,-0.11
5.585634232,0.07,-0.15,-0.13
5.595170975,0.05,-0.13,-0.13
5.605042934,0.02,-0.07,-0.09
5.614972115,-0.01,-0.02,0.02
5.624953032,-0.01,0.01,0.13
5.641064167,-0.03,0.05,0.11
5.654192924,0.01,-0.02,-0.08
5.656875134,0.01,-0.02,-0.08
5.66463995,-0.01,-0.06,-0.1
5.674334049,-0.05,0,0
5.685193062,-0.09,0.13,0.08
5.694864035,-0.13,0.18,0.07
5.704423904,-0.18,0.17,0.01
5.715743065,-0.19,0.18,-0.05
5.72518301,-0.16,0.2,-0.1
5.740588188,-0.15,0.22,-0.08
5.754705906,-0.18,0.22,-0.02
5.755125999,-0.18,0.22,-0.02
5.763906002,-0.17,0.18,0.01
5.773900032,-0.11,0.15,-0.01
5.784657955,-0.06,0.12,-0.04
5.794062138,-0.03,0.09,-0.02
5.803750992,-0.02,0.05,0.06
5.815304041,0,0.07,0.21
5.824562073,0.02,0.12,0.28
5.839084148,0.02,0.11,0.26
5.855402946,0.04,0.07,0.14
5.855844975,0.04,0.07,0.14
5.863152027,0.04,0.09,0.1
5.873403072,0.02,0.09,0.06
5.883904934,0,0.08,0.01
5.893610001,0.03,0.1,-0.02
5.904123068,-0.01,0.11,0
5.914200068,-0.05,0.11,0.07
5.923198223,-0.05,0.15,0.12
5.939254045,-0.07,0.16,0.15
5.955446005,-0.03,0.17,0.15
5.955995083,-0.03,0.17,0.15
5.962820053,-0.06,0.19,0.15
5.973180056,-0.08,0.18,0.18
5.98340416,-0.09,0.15,0.24
5.992686033,-0.11,0.11,0.28
6.002677917,-0.09,0.16,0.33
6.013597965,-0.11,0.17,0.36
6.023178101,-0.15,0.2,0.37
6.038434982,-0.19,0.22,0.35
6.054158211,-0.28,0.24,0.42
6.054712057,-0.28,0.24,0.42
6.061788082,-0.3,0.19,0.47
6.072756052,-0.32,0.22,0.51
6.082808971,-0.34,0.23,0.53
6.091901064,-0.39,0.22,0.54
6.103050232,-0.43,0.25,0.49
6.112937927,-0.45,0.28,0.44
6.122681141,-0.5,0.32,0.38
6.137938023,-0.58,0.34,0.3
6.151048183,-0.61,0.4,0.22
6.153303146,-0.61,0.4,0.22
6.16139102,-0.58,0.41,0.17
6.171546936,-0.54,0.4,0.14
6.181931019,-0.52,0.36,0.12
6.191356182,-0.49,0.27,0.06
6.201488018,-0.45,0.13,0.01
6.212500095,-0.32,0.12,-0.03
6.222239017,-0.19,0.14,-0.08
6.236461163,-0.05,0.14,-0.05
6.248019218,0,0.12,-0.03
6.251037121,0.04,-0.01,0
6.266881943,0.1,-0.06,0.02
6.270032883,0.1,-0.11,0.01
6.283678055,0.12,-0.16,0.04
6.290225983,0.25,-0.12,0.06
6.300780058,0.33,-0.04,0.03
6.310973167,0.29,-0.06,0.04
6.320632935,0.2,-0.1,0.07
6.34789896,0.17,-0.13,-0.04
6.348364115,0.17,-0.13,-0.04
6.351755142,0.24,-0.11,-0.08
6.359615088,0.24,-0.13,-0.15
6.370608091,0.21,-0.14,-0.13
6.379491091,0.21,-0.14,-0.08
6.390275955,0.23,-0.12,-0.03
6.40033102,0.16,-0.11,-0.04
6.410252094,0.09,-0.1,-0.08
6.42179203,0.09,-0.05,-0.13
6.433595181,0.13,-0.05,-0.16
6.445173025,0.15,-0.06,-0.17
6.449359894,0.12,-0.09,-0.15
6.467707157,0.08,-0.07,-0.13
6.471235037,0.05,-0.05,-0.13
6.482855082,0.04,-0.02,-0.15
6.489299059,0.05,-0.02,-0.15
6.499556065,0.06,0,-0.13
6.508959055,0.06,0.01,-0.09
6.520328045,0.05,-0.02,-0.05
6.535954952,0.01,-0.04,-0.01
6.548755169,-0.02,0,0.02
6.551167965,-0.02,0,0.02
6.567276001,0.04,0,-0.01
6.570477009,0.04,0,-0.01
6.581753016,0.04,-0.01,-0.03
6.58872509,0.03,-0.02,-0.04
6.598476887,0.03,-0.03,-0.03
6.608778,0.06,-0.03,-0.02
6.618774891,0.08,-0.02,0.01
6.646489143,0.04,-0.02,0.02
6.647045135,0.02,0,0.01
6.650957108,0.02,0,0.01
6.657632113,0.02,0.02,-0.02
6.669095993,0.03,0.01,-0.05
6.678107023,0.03,-0.01,-0.06
6.68870306,0.01,-0.02,-0.06
6.698338985,0.02,-0.03,-0.05
6.707709074,0.02,-0.05,-0.04
6.719023228,0.04,-0.05,-0.03
6.743967056,0.04,0,-0.04
6.744560003,0.04,0,-0.04
6.746987104,0.04,0,-0.04
6.757740021,0.04,-0.02,-0.05
6.768459082,0.06,-0.05,-0.04
6.777952194,0.11,-0.05,-0.02
6.787877083,0.14,-0.08,0
6.79893589,0.13,-0.12,0.01
6.808318138,0.12,-0.12,0
6.818572998,0.11,-0.09,-0.03
6.834455013,0.08,-0.07,-0.08
6.849141121,0.03,-0.04,-0.16
6.849589109,0.03,-0.04,-0.16
6.856807232,0.04,-0.06,-0.15
6.867209911,0.04,-0.07,-0.13
6.877270222,0.05,-0.12,-0.13
6.887680054,0.09,-0.1,-0.17
6.896953106,0.09,-0.08,-0.23
6.907949924,0.08,-0.09,-0.28
6.917888165,0.1,-0.08,-0.27
6.945571899,-0.01,0.01,-0.1
6.946907043,-0.01,0.01,-0.1
6.949468136,-0.01,0.01,-0.1
6.9557271,-0.01,0.05,-0.07
6.967428207,0,0.02,-0.06
6.976942062,0.05,0,-0.04
6.986186981,0.05,0,-0.04
6.997519016,0.04,-0.03,-0.04
7.007051945,0.06,-0.04,-0.04
7.017465115,0.1,-0.07,-0.05
7.033320904,0.16,-0.1,-0.07
7.048141003,0.22,-0.18,-0.11
7.048567057,0.22,-0.18,-0.11
7.055933952,0.19,-0.19,-0.12
7.068667889,0.18,-0.19,-0.09
7.075866222,0.22,-0.19,-0.06
7.086874008,0.29,-0.2,-0.02
7.095918179,0.33,-0.24,-0.02
7.105968952,0.31,-0.19,-0.05
7.115742207,0.27,-0.15,-0.08
7.141453028,0.12,-0.17,-0.16
7.141857147,0.12,-0.17,-0.16
7.145175934,0.12,-0.11,-0.16
7.155493021,0.02,-0.09,-0.18
7.165533066,0.07,-0.1,-0.16
7.175155163,0.05,-0.04,-0.16
7.185623169,0.02,-0.06,-0.18
7.195446014,0.08,-0.07,-0.2
7.205936909,0.07,-0.06,-0.24
7.215850115,0.14,-0.11,-0.24
7.232136011,0.13,-0.09,-0.2
7.244601011,0.08,-0.12,-0.11
7.248181105,0.08,-0.12,-0.11
7.254555225,0.04,-0.1,-0.13
7.265642166,0.06,-0.12,-0.12
7.27466011,0.13,-0.08,-0.1
7.284613132,0.1,-0.07,-0.11
7.294900894,0.06,-0.05,-0.08
7.304512978,0.02,-0.06,-0.05
7.314632893,0.05,-0.03,-0.02
7.329930067,0,-0.03,-0.04
7.340769053,0.02,-0.06,-0.04
7.344130993,0.06,-0.04,-0.04
7.353882074,0.03,-0.03,-0.06
7.364476204,0.02,-0.02,-0.03
7.373174191,0.02,-0.06,-0.02
7.38420701,0.01,-0.05,-0.03
7.394298077,0.05,-0.08,0
7.403908014,0.1,-0.05,-0.01
7.415131092,0.08,-0.05,-0.06
7.436471939,-0.03,-0.07,-0.09
